Campaign,Ad Group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2,Status
DEWAX | Gruntowa pompa ciepła,Gruntowa ogólnie,Responsive search ad,Gruntowa pompa ciepła,Policz koszt w 2 minuty,Odwiert i pompa na 1 umowie,Wiercimy własną wiertnicą,Ciepły dom bez gazu i węgla,Bez jednostki zewnętrznej,Chłodzenie latem z gruntu,"DEWAX Dobrzyca, od 2007 roku",Sprawdź geologię działki,Bez podawania telefonu,Działamy w 6 województwach,Protokół próby ciśnieniowej,Jedna firma za cały system,Ile kosztuje u Ciebie?,Pompa ciepła z odwiertem,"Policz koszt pompy z odwiertem i sprawdź, co jest pod Twoją działką. Bez telefonu.","Projekt, odwiert własną wiertnicą, montaż i serwis na 1 umowie. Nie ma komu zwalać winy.","Ciepło i ciepła woda z gruntu pod działką. Źródło 8 do 10°C, sprawność także w mróz.",Protokół próby ciśnieniowej i dokumentacja z rzeczywistą głębokością otworów. Od 2007.,https://pompy.dewax.pl/,gruntowa,pompa-ciepla,Enabled
DEWAX | Gruntowa pompa ciepła,Cena i koszt,Responsive search ad,Gruntowa pompa ciepła: cena,Thermokrafft od 23 990 zł,Odwiert 130 do 145 zł/m netto,Dom 150 m²: 51 do 55 tys. zł,Policz koszt w 2 minuty,Cena z odwiertem i montażem,Trudny grunt: zapis w umowie,Oferta pozycja po pozycji,Ile prądu zużyje pompa,Wycena po oględzinach działki,VAT 8% z montażem w domu,Odpowiedź w 1 dzień roboczy,Rozbicie ceny na 3 składniki,Bez podawania telefonu,"DEWAX Dobrzyca, od 2007 roku",Cena pompy z odwiertem i montażem. Przykład: dom 150 m² i roczny rachunek za prąd.,"Pompa od 23 990 zł, odwiert 130 do 145 zł/m netto, montaż. Każda pozycja osobno.","Policz koszt dla swojego domu w 2 minuty, bez telefonu. Dokładna oferta po oględzinach.",Cena przy trudnym gruncie zapisana w umowie przed startem. Wiercimy własną wiertnicą.,https://pompy.dewax.pl/gruntowa-pompa-ciepla-cena.html,gruntowa,cena,Enabled
DEWAX | Gruntowa pompa ciepła,Montaż i wykonawca,Responsive search ad,Montaż gruntowej pompy ciepła,Odwiert i montaż: 1 wykonawca,Wiercimy własną wiertnicą,Termin z naszego grafiku,Jedna umowa na cały system,Serwis: ta sama ekipa,Dokumentacja powykonawcza,Protokół próby ciśnieniowej,Od projektu po pierwsze ciepło,"DEWAX Dobrzyca, od 2007 roku",Policz koszt w 2 minuty,Działamy w 6 województwach,Ciepły dom bez gazu i węgla,Dokumenty przygotowujemy my,Pompy Thermokrafft i Buderus,"Odwiert własną wiertnicą, montaż pompy i serwis na jednej umowie. Nie ma komu zwalać winy.","Termin z naszego grafiku, nie z cudzej kolejki. Protokół próby, dokumentacja powykonawcza.",Projekt robót geologicznych i zgłoszenie do starostwa przygotowujemy my. Ty podpisujesz.,"Policz koszt w 2 minuty. Potem oględziny: wjazd wiertnicy, miejsce na odwierty, trasa rur.",https://pompy.dewax.pl/,gruntowa,montaz,Enabled
DEWAX | Gruntowa pompa ciepła,Gruntowa czy powietrzna,Responsive search ad,Gruntowa czy powietrzna?,Liczby z podaniem źródeł,"SPF 3,5 wobec 2,5 (decyzja KE)",26 do 29% mniej prądu,Kiedy gruntową odradzamy,"Cicha, bez jednostki na domu",Sprawność także w mróz,Chłodzenie latem z gruntu,20 lat wobec 18 wg VDI 2067,Policz koszt w 2 minuty,"Sprawdź, czy pasuje do domu",Grzejniki czy podłogówka?,"DEWAX Dobrzyca, od 2007 roku",Uczciwie: kiedy nie warto,Porównanie na jednych danych,"SPF 3,5 wobec 2,5 (decyzja KE). Mróz, hałas, chłodzenie latem, trwałość wg VDI 2067.","Kiedy odradzamy: stare grzejniki na 55°C, dom nieocieplony, sprzedaż domu za 2, 3 lata.","Ten sam dom: ok. 3 430 kWh prądu przy SPF 3,5, ok. 4 800 kWh przy SPF 2,5. Źródła podane.","Policz koszt gruntowej pompy z odwiertem dla swojego domu w 2 minuty, bez telefonu.",https://pompy.dewax.pl/pompa-ciepla-czy-warto.html,gruntowa,czy-warto,Enabled
DEWAX | Gruntowa pompa ciepła,Pompy Thermokrafft R290,Responsive search ad,Pompy Thermokrafft R290,Gruntowe pompy 2 do 23 kW,"Modele, moce, COP, ceny",Thermokrafft od 23 990 zł,Także pompy Buderus,"Czynnik R290, DC Inverter",COP wg PN-EN 14511,"Montaż z odwiertem, 1 umowa",Części i wsparcie w kraju,Cztery modele TK,Policz koszt w 2 minuty,"DEWAX Dobrzyca, od 2007 roku",Wiercimy własną wiertnicą,Ciepła woda i chłodzenie,Ceny brutto na stronie,"Cztery modele Thermokrafft TK na R290, 2 do 23 kW: moce, COP, EER i ceny brutto.","Pompę dobieramy z zapotrzebowania domu, dolne źródło z geologii działki. Jedna umowa.","Części i wsparcie do Thermokrafft w kraju. Serwis: ta sama firma, która montowała.","Policz koszt systemu z odwiertem w 2 minuty, bez telefonu. DEWAX, Dobrzyca, od 2007 roku.",https://pompy.dewax.pl/pompy.html,pompy,thermokrafft,Enabled
DEWAX | Odwierty i dolne źródło,Odwierty pod pompę ciepła,Responsive search ad,Odwierty pod pompę ciepła,"Własna wiertnica, własna ekipa",130 do 145 zł za metr netto,Ile metrów potrzebuje dom,Dzień wiercenia krok po kroku,Do 100 m na otwór,Protokół próby ciśnieniowej,Co zostaje na działce,Odwiert przy gotowym domu,Płuczka albo młotek,Formalności robimy my,Odwiert i pompa na 1 umowie,Policz metry w 2 minuty,"DEWAX Dobrzyca, od 2007 roku",Działamy w 6 województwach,"Ile otworów potrzebuje dom, co dzieje się na działce w dniu wiercenia, cena za metr.",Własna wiertnica wjedzie na ciasną działkę przy gotowym domu. Termin z naszego grafiku.,"Próba ciśnieniowa przed wypełnieniem otworu, protokół i dokumentacja powykonawcza.","Powyżej 30 m projekt robót geologicznych i zgłoszenie: przygotowujemy my, Ty podpisujesz.",https://pompy.dewax.pl/odwierty-pod-pompe-ciepla.html,odwierty,pompa-ciepla,Enabled
DEWAX | Odwierty i dolne źródło,Dolne źródło,Responsive search ad,Dolne źródło pompy ciepła,"4 technologie, 1 wykonawca","Odwiert, Helix, kolektor, woda",Długość źródła z geologii,Za krótkie źródło psuje system,Sondy koszowe DEWAX Helix,Kolektor poziomy albo pionowy,Układy woda-woda,Próba szczelności z protokołem,Wiercimy własną wiertnicą,Policz metry w 2 minuty,Odwiert i pompa na 1 umowie,"DEWAX Dobrzyca, od 2007 roku",Które pasuje do Twojej działki,Sprawdź geologię działki,"Odwiert pionowy, sondy Helix, kolektor poziomy, woda-woda. Które pasuje do Twojej działki.","Długość źródła liczymy z mocy odbieranej z gruntu i geologii działki, nie z metrażu domu.","Za krótkie źródło: tańsza oferta dziś, droższe zimy później. Liczymy pod geologię działki.","Próba ciśnieniowa przed wypełnieniem otworu, protokół, dokumentacja. Jedna umowa.",https://pompy.dewax.pl/dolne-zrodlo-pompy-ciepla.html,dolne-zrodlo,pompa-ciepla,Enabled
DEWAX | Odwierty i dolne źródło,Sondy koszowe Helix,Responsive search ad,Sondy koszowe DEWAX Helix,Bez głębokiego odwiertu,Gdy wiertnica nie wjedzie,"Szeroki, płytki otwór","Kiedy ma sens, kiedy nie",Rura zwinięta w spiralę,Próba szczelności z protokołem,Alternatywa dla kolektora,"Montaż, wypełnienie, próba",Policz koszt w 2 minuty,Sprawdź geologię działki,"DEWAX Dobrzyca, od 2007 roku",Działamy w 6 województwach,Odwiert i pompa na 1 umowie,"Ciepło z gruntu, mała działka","Rura zwinięta w spiralę w szerokim, płytkim otworze. Kiedy ma sens zamiast odwiertu.","Dolne źródło tam, gdzie głęboki odwiert nie wchodzi w grę. Montaż, próba i wypełnienie.","Powiemy wprost, kiedy Helix odradzamy. Źródło liczymy z mocy pompy i geologii działki.","Jedna firma za dolne źródło, pompę i uruchomienie. DEWAX, Dobrzyca, 6 województw.",https://pompy.dewax.pl/sondy-koszowe-helix.html,sondy-koszowe,helix,Enabled
DEWAX | Dotacje,Dotacje na gruntową pompę,Responsive search ad,Dotacje na gruntową pompę,Moje Ciepło do 21 000 zł,Nabór tylko do 31.12.2026,Czyste Powietrze: wg dochodu,Ulga do 53 000 zł odliczenia,Ile realnie dostaniesz,Nowy dom: Moje Ciepło,Stary dom: Czyste Powietrze,"Co robi DEWAX, a czego nie",Wniosek po odbiorze domu,Odwiert i pompa na 1 umowie,Policz koszt w 2 minuty,"DEWAX Dobrzyca, od 2007 roku",45% z Kartą Dużej Rodziny,Terminy i kwoty w 1 miejscu,"Moje Ciepło do 21 000 zł tylko dla nowych domów, nabór do 31.12.2026, wniosek po odbiorze.",Czyste Powietrze dla istniejących domów wg dochodu. Ulga termomodernizacyjna do 53 000 zł.,"Ile realnie dostaniesz i kiedy. Co robi DEWAX, a czego nie. Kwoty sprawdzone w 2026.","W Moim Cieple liczy się termin odbioru domu. Pompę zaplanuj przed wylewkami, policz koszt.",https://pompy.dewax.pl/dotacje-pompa-ciepla.html,dotacje,pompa-ciepla,Enabled
DEWAX | Marka,DEWAX,Responsive search ad,DEWAX Dobrzyca,Gruntowe pompy ciepła DEWAX,Odwierty własną wiertnicą,Od 2007 roku,Policz koszt w 2 minuty,Sprawdź geologię działki,"Ul. Ostrowska 1, Dobrzyca",Pan Krecik: marka wykonawcza,Oficjalna strona,Odwiert i pompa na 1 umowie,Działamy w 6 województwach,Pompy Thermokrafft i Buderus,Dla instalatorów: dolne źródło,Zamów dokładną wycenę,Kalkulator kosztu online,"Strona DEWAX: gruntowe pompy ciepła z odwiertem własną wiertnicą. Dobrzyca, od 2007 roku.","Policz koszt pompy z odwiertem, sprawdź geologię w DEWAX GEO i zamów dokładną wycenę.","Projekt, odwiert, montaż i serwis na jednej umowie. Odpisujemy w jeden dzień roboczy.","Instalatorze: wykonamy dolne źródło pod Twój montaż, odwierty, sondy Helix, dokumentacja.",https://pompy.dewax.pl/,dewax,dobrzyca,Enabled
